Composite: 5 {Line: (65561.8,1.89589e+07):(65561.8,1.90245e+07) Line: (32780.9,1.89917e+07):(98342.7,1.89917e+07) Line: (39337.1,1.89687e+07):(88508.5,1.90179e+07) Line: (39337.1,1.90179e+07):(88508.5,1.89687e+07) Circle: (65561.8,1.89917e+07) 16390.5}
Composite: 5 {Line: (65561.8,1.89589e+07):(65561.8,1.90245e+07) Line: (32780.9,1.89917e+07):(98342.7,1.89917e+07) Line: (39337.1,1.89687e+07):(88508.5,1.90179e+07) Line: (39337.1,1.90179e+07):(88508.5,1.89687e+07) Circle: (65561.8,1.89917e+07) 16390.5}
Composite: 5 {Line: (65561.8,1.89589e+07):(65561.8,1.90245e+07) Line: (32780.9,1.89917e+07):(98342.7,1.89917e+07) Line: (39337.1,1.89687e+07):(88508.5,1.90179e+07) Line: (39337.1,1.90179e+07):(88508.5,1.89687e+07) Circle: (65561.8,1.89917e+07) 16390.5}
Composite: 5 {Line: (65561.8,1.89589e+07):(65561.8,1.90245e+07) Line: (32780.9,1.89917e+07):(98342.7,1.89917e+07) Line: (39337.1,1.89687e+07):(88508.5,1.90179e+07) Line: (39337.1,1.90179e+07):(88508.5,1.89687e+07) Circle: (65561.8,1.89917e+07) 16390.5}
Composite: 5 {Line: (65561.8,1.89589e+07):(65561.8,1.90245e+07) Line: (32780.9,1.89917e+07):(98342.7,1.89917e+07) Line: (39337.1,1.89687e+07):(88508.5,1.90179e+07) Line: (39337.1,1.90179e+07):(88508.5,1.89687e+07) Circle: (65561.8,1.89917e+07) 16390.5}
Composite: 5 {Line: (65561.8,1.89589e+07):(65561.8,1.90245e+07) Line: (32780.9,1.89917e+07):(98342.7,1.89917e+07) Line: (39337.1,1.89687e+07):(88508.5,1.90179e+07) Line: (39337.1,1.90179e+07):(88508.5,1.89687e+07) Circle: (65561.8,1.89917e+07) 16390.5}
Composite: 5 {Line: (65561.8,1.89589e+07):(65561.8,1.90245e+07) Line: (32780.9,1.89917e+07):(98342.7,1.89917e+07) Line: (39337.1,1.89687e+07):(88508.5,1.90179e+07) Line: (39337.1,1.90179e+07):(88508.5,1.89687e+07) Circle: (65561.8,1.89917e+07) 16390.5}
Composite: 5 {Line: (65561.8,1.89589e+07):(65561.8,1.90245e+07) Line: (32780.9,1.89917e+07):(98342.7,1.89917e+07) Line: (39337.1,1.89687e+07):(88508.5,1.90179e+07) Line: (39337.1,1.90179e+07):(88508.5,1.89687e+07) Circle: (65561.8,1.89917e+07) 16390.5}
Rectangle: (0,0):(30,1.25)
Rectangle: (120,55):(210,58.75)
Rectangle: (240,110):(390,116.25)
Rectangle: (360,165):(570,173.75)
Rectangle: (480,220):(750,231.25)
Rectangle: (600,275):(930,288.75)
Rectangle: (720,330):(1110,346.25)
Rectangle: (840,385):(1290,403.75)
Rectangle: (960,440):(1470,461.25)
Rectangle: (1080,495):(1650,518.75)
Rectangle: (1200,550):(1830,576.25)
Rectangle: (1320,605):(2010,633.75)
