Composite: 5 {Line: (150.823,73.887):(150.823,73.8934) Line: (150.82,73.8902):(150.826,73.8902) Line: (150.82,73.888):(150.825,73.8927) Line: (150.82,73.8927):(150.825,73.888) Circle: (150.823,73.8902) 0.0015874}
Rectangle: (64.6447,135.355):(115.27,137.465)
Rectangle: (50,100):(87.9688,137.969)
Rectangle: (62.6563,100):(75.3125,112.656)
Rectangle: (64.2383,106.328):(67.4023,109.492)
Rectangle: (68.9844,100):(72.1484,107.91)
Polygon: 3 (62.6563,112.656) (75.3125,112.656) (68.9844,118.985)
Polygon: 4 (72.1484,115.82) (72.1484,118.985) (73.4141,118.985) (73.4141,114.871)
Polygon: 4 (64.2383,106.328) (64.2383,107.91) (65.8203,107.91) (65.8203,106.328)
Rectangle: (65.8203,106.328):(67.4023,107.91)
Rectangle: (64.2383,107.91):(65.8203,109.492)
Rectangle: (65.8203,107.91):(67.4023,109.492)
Composite: 5 {Line: (150.823,73.887):(150.823,73.8934) Line: (150.82,73.8902):(150.826,73.8902) Line: (150.82,73.888):(150.825,73.8927) Line: (150.82,73.8927):(150.825,73.888) Circle: (150.823,73.8902) 0.0015874}
Rectangle: (50,100):(87.9688,101.582)
Rectangle: (64.6445,64.6448):(93.1211,93.1213)
Rectangle: (74.1367,64.6448):(83.6289,74.137)
Rectangle: (75.3233,69.3909):(77.6963,71.7639)
Rectangle: (78.8828,64.6448):(81.2559,70.5774)
Polygon: 3 (74.1367,74.137) (83.6289,74.137) (78.8828,78.8831)
Polygon: 4 (81.2559,76.51) (81.2559,78.8831) (82.2051,78.8831) (82.2051,75.7981)
Polygon: 4 (75.3233,69.3909) (75.3233,70.5774) (76.5098,70.5774) (76.5098,69.3909)
Rectangle: (76.5098,69.3909):(77.6963,70.5774)
Rectangle: (75.3233,70.5774):(76.5098,71.7639)
Rectangle: (76.5098,70.5774):(77.6963,71.7639)
Composite: 5 {Line: (150.823,73.887):(150.823,73.8934) Line: (150.82,73.8902):(150.826,73.8902) Line: (150.82,73.888):(150.825,73.8927) Line: (150.82,73.8927):(150.825,73.888) Circle: (150.823,73.8902) 0.0015874}
Rectangle: (64.6445,64.6448):(93.1211,65.8313)
Rectangle: (99.9998,50):(121.357,71.3574)
Rectangle: (107.119,50):(114.238,57.1191)
Rectangle: (108.009,53.5596):(109.789,55.3394)
Rectangle: (110.679,50):(112.458,54.4495)
Polygon: 3 (107.119,57.1191) (114.238,57.1191) (110.679,60.6787)
Polygon: 4 (112.458,58.8989) (112.458,60.6787) (113.17,60.6787) (113.17,58.365)
Polygon: 4 (108.009,53.5596) (108.009,54.4495) (108.899,54.4495) (108.899,53.5596)
Rectangle: (108.899,53.5596):(109.789,54.4495)
Rectangle: (108.009,54.4495):(108.899,55.3394)
Rectangle: (108.899,54.4495):(109.789,55.3394)
Composite: 5 {Line: (150.823,73.887):(150.823,73.8934) Line: (150.82,73.8902):(150.826,73.8902) Line: (150.82,73.888):(150.825,73.8927) Line: (150.82,73.8927):(150.825,73.888) Circle: (150.823,73.8902) 0.0015874}
Rectangle: (99.9998,50):(121.357,50.8899)
Rectangle: (135.355,64.6445):(151.373,80.6626)
Rectangle: (140.695,64.6445):(146.034,69.9839)
Rectangle: (141.362,67.3142):(142.697,68.649)
Rectangle: (143.364,64.6445):(144.699,67.9816)
Polygon: 3 (140.695,69.9839) (146.034,69.9839) (143.364,72.6535)
Polygon: 4 (144.699,71.3187) (144.699,72.6535) (145.233,72.6535) (145.233,70.9182)
Polygon: 4 (141.362,67.3142) (141.362,67.9816) (142.029,67.9816) (142.029,67.3142)
Rectangle: (142.029,67.3142):(142.697,67.9816)
Rectangle: (141.362,67.9816):(142.029,68.649)
Rectangle: (142.029,67.9816):(142.697,68.649)
Composite: 5 {Line: (150.823,73.887):(150.823,73.8934) Line: (150.82,73.8902):(150.826,73.8902) Line: (150.82,73.888):(150.825,73.8927) Line: (150.82,73.8927):(150.825,73.888) Circle: (150.823,73.8902) 0.0015874}
Rectangle: (135.355,64.6445):(151.373,65.3119)
